date,price
20/1/2023,4.2515
19/1/2023,4.2315
18/1/2023,4.2345
17/1/2023,4.223
13/1/2023,4.216
12/1/2023,4.1965
11/1/2023,4.166
10/1/2023,4.0775
9/1/2023,4.0265
6/1/2023,3.911
5/1/2023,3.821
4/1/2023,3.7405
3/1/2023,3.7665
30/12/2022,3.8105
29/12/2022,3.824
28/12/2022,3.8425
27/12/2022,3.8405
23/12/2022,3.809
22/12/2022,3.757
21/12/2022,3.81
20/12/2022,3.799
19/12/2022,3.783
16/12/2022,3.7615
15/12/2022,3.763
14/12/2022,3.878
13/12/2022,3.842
12/12/2022,3.8005
9/12/2022,3.8785
8/12/2022,3.8835
7/12/2022,3.8605
6/12/2022,3.818
5/12/2022,3.795
2/12/2022,3.8505
1/12/2022,3.8175
30/11/2022,3.738
29/11/2022,3.6395
28/11/2022,3.6155
25/11/2022,3.6305
23/11/2022,3.6185
22/11/2022,3.6145
21/11/2022,3.576
18/11/2022,3.6415
17/11/2022,3.694
16/11/2022,3.7735
15/11/2022,3.8195
14/11/2022,3.8275
11/11/2022,3.9135
10/11/2022,3.758
9/11/2022,3.7
8/11/2022,3.6825
7/11/2022,3.6035
4/11/2022,3.6865
3/11/2022,3.427
2/11/2022,3.4685
1/11/2022,3.4725
31/10/2022,3.375
28/10/2022,3.429
27/10/2022,3.5195
26/10/2022,3.545
25/10/2022,3.397
24/10/2022,3.4305
21/10/2022,3.4745
20/10/2022,3.4105
19/10/2022,3.318
18/10/2022,3.362
17/10/2022,3.4155
14/10/2022,3.4235
13/10/2022,3.4405
12/10/2022,3.425
11/10/2022,3.462
10/10/2022,3.4305
7/10/2022,3.3865
6/10/2022,3.446
5/10/2022,3.5005
4/10/2022,3.49
3/10/2022,3.41
30/9/2022,3.4125
29/9/2022,3.418
28/9/2022,3.3585
27/9/2022,3.2835
26/9/2022,3.2945
23/9/2022,3.343
22/9/2022,3.471
21/9/2022,3.467
20/9/2022,3.503
19/9/2022,3.5125
16/9/2022,3.5165
15/9/2022,3.49
14/9/2022,3.5195
13/9/2022,3.5555
12/9/2022,3.6105
9/9/2022,3.568
8/9/2022,3.527
7/9/2022,3.4305
6/9/2022,3.462
2/9/2022,3.4135
1/9/2022,3.4065
31/8/2022,3.5185
30/8/2022,3.551
29/8/2022,3.6105
26/8/2022,3.697
25/8/2022,3.698
24/8/2022,3.648
23/8/2022,3.6915
22/8/2022,3.6535
19/8/2022,3.671
18/8/2022,3.636
17/8/2022,3.59
16/8/2022,3.6245
15/8/2022,3.6175
12/8/2022,3.6685
11/8/2022,3.7065
10/8/2022,3.6495
9/8/2022,3.5855
8/8/2022,3.5865
5/8/2022,3.552
4/8/2022,3.4815
3/8/2022,3.467
2/8/2022,3.5185
1/8/2022,3.5425
29/7/2022,3.5735
28/7/2022,3.4745
27/7/2022,3.43
